
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-03-20


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.7
Magnitude Max:, 7.5
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, 0.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 0.0
Vs30 Max (m/sec):, 225.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 2
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, SS+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
15, SRSS, 4107, -, 1.0, 1.19, 3.8, 9.4, 2.3, "Parkfield-02_ CA", 2004, "Parkfield - Fault Zone 1", 6.0, strike slip, 0.02, 2.51, 178.27, 0.1875, 1.0, RSN4107_PARK2004_COW090.AT2, RSN4107_PARK2004_COW360.AT2 , RSN4107_PARK2004_COW-UP.AT2  
16, SRSS, 8119, -, 1.0, 4.823, 2.8, 4.3, 2.3, "Christchurch_ New Zealand", 2011, "Pages Road Pumping Station", 6.2, Reverse Oblique, 1.92, 1.98, 206.0, 0.1, 1.0, RSN8119_CCHURCH_PRPCS.AT2, RSN8119_CCHURCH_PRPCW.AT2 , RSN8119_CCHURCH_PRPCUP.AT2  
17, SRSS, 8123, -, 1.0, 1.554, 4.4, 11.2, 3.6, "Christchurch_ New Zealand", 2011, "Christchurch Resthaven ", 6.2, Reverse Oblique, 5.11, 5.13, 141.0, 0.1, 1.0, RSN8123_CCHURCH_REHSN02E.AT2, RSN8123_CCHURCH_REHSS88E.AT2 , RSN8123_CCHURCH_REHSUP.AT2  
18, SRSS, 8161, -, 1.0, 8.722, 14.1, 32.9, 3.2, "El Mayor-Cucapah_ Mexico", 2010, "El Centro Array #12", 7.2, strike slip, 9.98, 11.26, 196.88, 0.05, 1.0, RSN8161_SIERRA.MEX_E12360.AT2, RSN8161_SIERRA.MEX_E12090.AT2 , RSN8161_SIERRA.MEX_E12-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-149 SRSS pSa (g),RSN-161 SRSS pSa (g),RSN-170 SRSS pSa (g),RSN-173 SRSS pSa (g),RSN-178 SRSS pSa (g),RSN-179 SRSS pSa (g),RSN-180 SRSS pSa (g),RSN-181 SRSS pSa (g),RSN-182 SRSS pSa (g),RSN-184 SRSS pSa (g),RSN-185 SRSS pSa (g),RSN-1114 SRSS pSa (g),RSN-3965 SRSS pSa (g),RSN-4100 SRSS pSa (g),RSN-4107 SRSS pSa (g),RSN-8119 SRSS pSa (g),RSN-8123 SRSS pSa (g),RSN-8161 SRSS pSa (g)
0.01,0.55344806,0.81332087,0.37660998,0.34315918,0.27512173,0.31768968,0.28959278,0.34846269,0.61069002,0.65427602,0.64925391,0.58030703,0.59782224,0.34061277,0.4540877,0.50901979,0.72693617,1.03241372,0.90204196,0.80609302,0.5244847
0.02,0.58638174,0.89800086,0.38289891,0.34370054,0.27857765,0.32029911,0.2946976,0.35096938,0.62151278,0.68705028,1.01387502,0.58553015,0.60051574,0.3469707,0.45293774,0.50858907,0.73003429,1.04592315,1.03089354,0.8127316,0.53006303
0.022,0.59556166,0.92639467,0.38287536,0.34483224,0.27634739,0.32115838,0.30096097,0.35652075,0.63271203,0.70109604,1.12685238,0.58955984,0.60125666,0.34584208,0.45311957,0.51013996,0.72946131,1.04941208,1.0431316,0.81442165,0.52328494
0.025,0.60340242,0.94534153,0.38514598,0.34452426,0.28338202,0.32340281,0.30806003,0.35925042,0.62520621,0.72654873,1.19003948,0.60366262,0.60668058,0.34501336,0.45384762,0.51296658,0.72903489,1.04661514,1.06136441,0.80901582,0.53262865
0.029,0.61366123,0.97872212,0.38476714,0.34499301,0.28624548,0.32402286,0.3041268,0.35085768,0.64695788,0.74894058,1.28467873,0.60095571,0.60762626,0.34682335,0.45517051,0.51502562,0.73848263,1.05897744,1.07069871,0.82426708,0.53705188
0.03,0.61717745,0.99095925,0.38438311,0.3459338,0.28946541,0.32349189,0.30735188,0.34877164,0.63784836,0.75063505,1.32729919,0.59743074,0.61518435,0.3499622,0.4549106,0.51576248,0.73956435,1.06162621,1.07450111,0.82677548,0.54267932
0.032,0.6232231,0.99966487,0.38853724,0.34617514,0.29836907,0.3261053,0.30965296,0.35311975,0.6401832,0.78372063,1.34520433,0.58668851,0.62828188,0.36293716,0.45526646,0.52696145,0.73557727,1.04575821,1.09775411,0.83036143,0.54589894
0.035,0.62101301,0.96633048,0.39909448,0.3477562,0.31370962,0.33929638,0.30130729,0.35676046,0.69012858,0.82142286,1.17350439,0.58826197,0.63655651,0.3510797,0.45443913,0.54576661,0.74552861,1.05516621,1.09396039,0.82975004,0.5338393
0.036,0.6243752,0.97244201,0.40089217,0.34730356,0.31732693,0.34163428,0.29904401,0.35788573,0.72137527,0.81722418,1.12869579,0.590631,0.63971259,0.3480647,0.45422116,0.54896988,0.7503183,1.05107205,1.15922282,0.8338001,0.53225118
0.04,0.62375758,0.94145335,0.41326904,0.35179018,0.32298426,0.3483781,0.30033994,0.37356696,0.75273243,0.87538559,0.98637243,0.58311319,0.65963372,0.36467731,0.46130288,0.57036253,0.7632461,1.05994631,1.07950412,0.83405899,0.54024139
0.042,0.61650638,0.91417721,0.41576197,0.35148238,0.32660121,0.35379782,0.30008622,0.37499525,0.73214902,0.87199047,0.97587056,0.60253799,0.64959206,0.36680206,0.46213177,0.56565121,0.76990227,1.03943872,0.97360581,0.83413003,0.54635005
