
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-03-20


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.7
Magnitude Max:, 7.5
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, 0.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 0.0
Vs30 Max (m/sec):, 225.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 2
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, SS+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.38,1.09920999,1.63886206,0.73725704,0.97671128,0.47770354,0.59642199,0.57848403,0.74361615,1.12648794,1.63402114,1.00244922,0.91269932,1.40130141,0.81219404,0.68765786,1.45095542,1.35386422,2.31326995,1.35573665,1.14787214,1.21433344
0.4,1.06913606,1.60434728,0.71247162,0.93745997,0.50888047,0.56763316,0.58447829,0.65694358,0.99893888,1.61768011,0.97885934,0.92564864,1.46837766,0.79033514,0.69053785,1.34803272,1.26860037,2.28699234,1.3449596,1.15943949,1.11065138
0.42,1.06121556,1.56716078,0.71861067,0.84888089,0.52257571,0.63294007,0.61526604,0.67840995,0.94536864,1.53768912,0.97066383,1.10113542,1.36431007,0.63029199,0.71198103,1.27163156,1.28442607,2.15762591,1.56547856,1.18934673,1.07385846
0.44,1.04704647,1.52237262,0.72013008,0.76041404,0.52179438,0.68035609,0.63818213,0.64537695,0.96061877,1.46626482,0.94631169,1.18500301,1.25694542,0.60433593,0.74109294,1.18843061,1.29683855,1.96315296,1.70801891,1.24446783,1.03923145
0.45,1.0427897,1.50158238,0.7241763,0.72766009,0.5172653,0.72528618,0.64768564,0.61559701,0.96797738,1.44879221,0.91052892,1.19752734,1.26153007,0.63579327,0.75465482,1.20359458,1.29037722,1.86440586,1.71421012,1.29464535,0.99268331
0.46,1.04520797,1.48729743,0.73452672,0.70406949,0.51062252,0.7941821,0.63427353,0.62857135,0.97292925,1.43344021,0.8871231,1.18425311,1.27861311,0.65413377,0.76763081,1.24100793,1.28698236,1.77795837,1.67811976,1.38773775,0.99209502
0.48,1.04897556,1.45460403,0.75645997,0.74309944,0.49394337,0.88186908,0.65550174,0.65706694,0.96342343,1.44476566,0.88816779,1.09722092,1.23398416,0.69203489,0.84917446,1.25244945,1.29101558,1.61847768,1.56919328,1.58164811,0.96852411
0.5,1.04488488,1.41205415,0.77318877,0.79813773,0.47666596,0.89443904,0.67384562,0.74397339,0.94508395,1.4420174,0.8522269,0.98953347,1.22038737,0.70149,0.91205746,1.13174644,1.37648452,1.50819144,1.4564208,1.55999893,1.12522739
0.55,0.98340614,1.34045928,0.72145992,0.65658493,0.51034113,0.82564859,0.58966821,0.63536032,0.86271517,1.11875725,0.87992904,0.98956406,1.21983453,0.67574659,0.95812099,1.02439958,1.55772654,1.49219651,1.07728171,1.42822935,1.1992061
0.6,0.93398398,1.32477204,0.65847259,0.57041823,0.48177115,0.86546517,0.42020392,0.67744358,0.80413109,0.86310181,0.94118172,1.05416571,1.17746058,0.53219799,0.86351463,1.07924545,1.60059902,1.5684464,1.01005242,1.24345737,1.05885545
0.65,0.92672977,1.3713041,0.62628564,0.55611242,0.42037126,0.78555599,0.38599744,0.59377008,0.77902883,0.77743907,0.91765286,1.32554678,1.01976701,0.5566469,0.77422761,0.98758889,1.56669313,1.55479239,1.13038121,1.49064853,1.05891548
0.667,0.93547513,1.41135628,0.6200516,0.58271286,0.40286224,0.75573488,0.37131623,0.5817226,0.77736668,0.78118021,0.90434822,1.41562687,1.01498986,0.55062665,0.78007121,0.97010798,1.54462482,1.53883118,1.15979519,1.65792135,1.04871328
0.7,0.9270335,1.43702308,0.5980357,0.59753529,0.37793434,0.72213979,0.34404333,0.60590568,0.77601344,0.78462438,0.9013855,1.53076053,0.97691536,0.52767551,0.81891139,0.93170567,1.49120938,1.50617429,1.14999908,1.8117906,0.8318794
0.75,0.8861905,1.3868594,0.56626764,0.56209363,0.36356241,0.64853143,0.32820459,0.53593217,0.7641496,0.75540355,0.97753822,1.57045192,0.9347674,0.49522669,0.87000711,0.93096004,1.39874888,1.48590303,1.04371556,1.65375881,0.63247397
0.8,0.85236118,1.30546757,0.55652059,0.56572263,0.35690042,0.62902412,0.32102421,0.47555593,0.86027112,0.71311328,1.01190316,1.49169117,0.85495169,0.46930563,0.90114892,0.91809495,1.30388487,1.44553045,0.86727382,1.4719069,0.68519793
0.85,0.84511082,1.2962398,0.55098779,0.57868426,0.35257038,0.57707852,0.29241609,0.45487847,0.89130145,0.84229985,0.9533567,1.37263134,0.73518504,0.43984695,0.97490763,0.89486268,1.21277487,1.44120257,0.79142021,1.57163929,0.83493851
0.9,0.83790325,1.31802808,0.53267595,0.55290804,0.3590582,0.58251487,0.296764,0.41316501,0.85839328,0.86891653,0.89891531,1.21403241,0.64305615,0.41409485,1.13465322,0.85898278,1.11321915,1.37971442,0.75418635,1.78774378,0.95194021
0.95,0.82733421,1.3430719,0.50963906,0.54906328,0.36217563,0.57471034,0.3181695,0.35713207,0.79502311,0.83964137,0.8269757,1.05752393,0.59536508,0.42245856,1.24871129,0.87404415,1.00281429,1.34995601,0.73864117,1.94427117,1.0353392
1.0,0.80573746,1.34610914,0.48228842,0.50909576,0.36009027,0.5565889,0.36473485,0.3024382,0.73420635,0.79720172,0.74772597,0.93904397,0.55434664,0.43219324,1.31801976,0.96335236,0.89013608,1.30041292,0.74052795,2.02313898,0.97002038
1.1,0.75928695,1.23422885,0.46710679,0.39039819,0.34273879,0.51307312,0.4286198,0.31299794,0.70922942,0.69809678,0.62165875,0.85951182,0.56166148,0.46351924,1.35389916,1.0887707,0.78113714,1.15101133,0.76818173,1.74902365,0.87363614
1.2,0.70716745,1.09909798,0.45499657,0.32595655,0.32075654,0.56233221,0.47950662,0.33463393,0.6392003,0.59486287,0.5585793,0.75972569,0.61237649,0.42969634,1.29176842,1.06950722,0.6877754,0.96805959,0.95093448,1.42490121,0.71844101
1.3,0.67512703,1.06119552,0.42951228,0.26775073,0.30208341,0.68140989,0.50204061,0.33669367,0.55134774,0.46862955,0.57323303,0.66849339,0.66929482,0.37339349,1.22049072,0.98591404,0.54597052,0.84120444,1.12671839,1.32741584,0.71020228
1.4,0.62440022,0.9919744,0.39302994,0.23206944,0.29090808,0.66645408,0.49731027,0.31776462,0.48069744,0.41996899,0.54942067,0.63312005,0.62873538,0.34418053,1.11871018,0.88629559,0.46069393,0.7369152,1.18097497,1.18790971,0.6070749
1.5,0.56159202,0.90199493,0.34965341,0.20938153,0.28435329,0.537223,0.46935909,0.29279525,0.45443266,0.39587383,0.51790591,0.57747817,0.52873051,0.31541144,0.98506812,0.76807342,0.40275693,0.56180871,1.15212053,1.10336356,0.55252047
1.6,0.5071369,0.80534554,0.31935091,0.19059681,0.27425025,0.43845619,0.43712272,0.27094268,0.47732397,0.400819,0.50304016,0.53235101,0.48062909,0.28499249,0.85548245,0.61099787,0.35094636,0.48339063,1.06866872,0.99106108,0.4773927
1.7,0.46262804,0.72259965,0.29618712,0.17186227,0.25821962,0.34158005,0.40442296,0.24910749,0.47647308,0.40366719,0.51439062,0.52747852,0.40885959,0.26732217,0.78392165,0.49106271,0.30724236,0.46467517,0.95648898,0.85278754,0.44774282
1.8,0.43479612,0.6738534,0.28054717,0.15323834,0.2415321,0.31009615,0.3820528,0.26544229,0.46563117,0.40913887,0.54019462,0.52272447,0.37134058,0.24747707,0.83253895,0.39957696,0.28387879,0.43222957,0.8396968,0.72298715,0.40655341
1.9,0.40716947,0.62930422,0.26344489,0.13100858,0.22654506,0.29937057,0.36492793,0.28522753,0.46243895,0.41414422,0.56580934,0.5114019,0.35668176,0.22531917,0.81599413,0.34106213,0.25679331,0.34312664,0.72256117,0.64039226,0.36624584
2.0,0.38038354,0.57975851,0.24957225,0.1081285,0.21552108,0.29579852,0.34745527,0.28760401,0.44637417,0.41726149,0.58442753,0.50626734,0.34027759,0.21597447,0.74412278,0.30292683,0.2287312,0.29959865,0.61511497,0.54843943,0.34287982
2.2,0.33937371,0.5103089,0.22569568,0.08048594,0.19957153,0.31049745,0.31136755,0.29050195,0.40372085,0.51370818,0.59325807,0.49957923,0.33083589,0.2239691,0.56339995,0.25257537,0.1698598,0.24638818,0.452683,0.39765246,0.26867224
2.4,0.30814198,0.47972849,0.19792754,0.06468278,0.19842417,0.29037698,0.27759436,0.26423802,0.37347681,0.54349417,0.59038552,0.48112968,0.31184518,0.23844714,0.44797526,0.20790357,0.13763082,0.19541441,0.36702763,0.34775027,0.20875886
2.5,0.29821963,0.47675338,0.18654288,0.05780608,0.18991589,0.28563992,0.26759851,0.25001538,0.36234645,0.54582383,0.59390328,0.47065196,0.30059004,0.24586813,0.42694242,0.18826688,0.12225316,0.17780803,0.34588618,0.35752431,0.17911288
2.6,0.29398071,0.48144629,0.17951048,0.05156228,0.18610226,0.27917342,0.26664535,0.24033214,0.36441876,0.54870777,0.59701702,0.478636,0.28906513,0.25241102,0.42097143,0.17042921,0.10848969,0.16190784,0.3334126,0.37344712,0.1689237
2.8,0.28665441,0.48660993,0.16886369,0.04428063,0.19263054,0.26671097,0.25744073,0.22287067,0.36493129,0.52878284,0.59824644,0.47737785,0.25916649,0.26341879,0.40558446,0.13922711,0.08244869,0.13439591,0.32075245,0.44121047,0.16030304
3.0,0.27737686,0.48081853,0.16001447,0.04014404,0.18391071,0.25849687,0.23627496,0.21026082,0.35750191,0.49109928,0.58755748,0.46162839,0.23557315,0.26553263,0.38252356,0.11377974,0.07102059,0.11162305,0.31146569,0.49080486,0.18358572
3.2,0.26460213,0.46017741,0.15214629,0.04012876,0.1603347,0.25126792,0.22019675,0.19767727,0.34516487,0.45141313,0.5660963,0.4393685,0.21484916,0.26115727,0.35173903,0.10823308,0.06031953,0.09280945,0.30180933,0.47940977,0.22086348
3.4,0.24790592,0.42716125,0.14387388,0.03595968,0.14850241,0.23329137,0.20592149,0.18520288,0.33372621,0.41533819,0.54066922,0.40970139,0.20353796,0.25279243,0.31634363,0.11542487,0.05356878,0.07735465,0.30725975,0.40387909,0.22383259
3.5,0.23902299,0.41079739,0.13907584,0.03336057,0.14268249,0.22490587,0.19849977,0.17963011,0.32787398,0.40200118,0.52303001,0.39321627,0.19702698,0.24736391,0.29814577,0.11379801,0.051209,0.07071372,0.30584602,0.36744546,0.22566476
3.6,0.23004976,0.39445699,0.13416644,0.03144085,0.13712597,0.21730477,0.19151424,0.17366044,0.32146597,0.38907836,0.50360205,0.37570514,0.19060873,0.24158196,0.28009001,0.10985957,0.04894692,0.06471723,0.30177585,0.33231026,0.23010733
3.8,0.21151143,0.36223426,0.12350319,0.0269796,0.12774618,0.1960411,0.17922437,0.16105949,0.30768746,0.36490174,0.46209088,0.33877115,0.18193934,0.22795857,0.26269066,0.10531075,0.04472398,0.05443547,0.28754245,0.26733189,0.21077073
4.0,0.19488418,0.3312035,0.11467223,0.02479276,0.11972518,0.18780114,0.16308612,0.14867383,0.2930989,0.33914556,0.41738699,0.30141276,0.17406183,0.21400401,0.24620374,0.10149577,0.04088345,0.05117698,0.27200498,0.22135286,0.19160836
4.2,0.1806982,0.30489648,0.10709156,0.02193483,0.11675272,0.17839767,0.154481,0.13693903,0.27762413,0.31261714,0.37400259,0.27578652,0.16544601,0.20138881,0.23265828,0.09599435,0.03741648,0.04523793,0.25881514,0.19378059,0.17329444
4.4,0.16729577,0.27972384,0.10005538,0.01919899,0.11801686,0.16813849,0.13981275,0.1255386,0.26083663,0.28686815,0.33361388,0.25447429,0.15721368,0.18880042,0.20803946,0.08914992,0.03428457,0.0404687,0.24325314,0.16797825,0.17563714
4.6,0.15495137,0.25613301,0.09374008,0.01700027,0.11913323,0.15890491,0.12935389,0.11504006,0.24242993,0.26208536,0.29586083,0.23374043,0.15163448,0.17563612,0.1884859,0.08173254,0.03146895,0.03763314,0.22599791,0.14874051,0.17424621
4.8,0.14328796,0.23629867,0.08688767,0.01506804,0.11365268,0.14860175,0.12037281,0.10634274,0.22518314,0.238032,0.26915682,0.21387208,0.14529172,0.16243544,0.17263775,0.07441591,0.02893585,0.03356682,0.20930201,0.12704581,0.17526992
5.0,0.13279334,0.21995971,0.08016955,0.01323035,0.10235692,0.13761641,0.11199689,0.09976153,0.20855159,0.21588977,0.24671363,0.19513265,0.14010384,0.15022126,0.15689873,0.06717764,0.02665677,0.0292332,0.19322961,0.10759375,0.18791558
5.5,0.11427307,0.1974544,0.06613342,0.00991779,0.07782043,0.10898768,0.1054154,0.08542871,0.17060087,0.17561412,0.19944284,0.15490787,0.12638037,0.12176909,0.13375501,0.05071402,0.02190914,0.02314011,0.15453805,0.0895621,0.2470117
6.0,0.10104496,0.1923442,0.05308235,0.00818864,0.05655031,0.09966105,0.10446739,0.07098257,0.13798858,0.15674923,0.16156878,0.12327413,0.11395915,0.09895541,0.10803493,0.04522097,0.01823671,0.01930884,0.12771337,0.07291132,0.29503781
6.5,0.08844325,0.18053119,0.04332885,0.00652056,0.04693032,0.08962075,0.09688022,0.05937374,0.11559797,0.14351773,0.13205886,0.0987399,0.09679179,0.0909332,0.08350212,0.03756814,0.01536759,0.01628305,0.10407625,0.06370536,0.294511
7.0,0.07656825,0.16136133,0.03633273,0.00556458,0.04057696,0.07797683,0.0816451,0.05406982,0.10208091,0.12855933,0.10796047,0.08048281,0.08273874,0.08121542,0.06514012,0.03073842,0.01309734,0.01387416,0.08510199,0.05903455,0.26837101
7.5,0.06587438,0.1413483,0.03070029,0.00491996,0.03488626,0.06867013,0.06578954,0.05075836,0.08945729,0.11276922,0.08848742,0.0682681,0.06954194,0.07210517,0.05168638,0.02553509,0.01127904,0.01193693,0.07060268,0.05183647,0.23720887
8.0,0.05609587,0.11749878,0.0267811,0.00436889,0.0298499,0.05768322,0.0580952,0.04611634,0.07907647,0.09652449,0.07284276,0.06009087,0.05944495,0.06269694,0.04077671,0.02336203,0.00980567,0.01036338,0.06007338,0.0436489,0.19490547
8.5,0.04774698,0.09906335,0.0230133,0.00381426,0.02535879,0.04692431,0.04961799,0.0407805,0.06882343,0.08140632,0.06031604,0.05257133,0.05082218,0.05467418,0.03439723,0.02134551,0.00859799,0.00907181,0.05134758,0.035657,0.16391926
9.0,0.0410873,0.08284603,0.02037715,0.00330377,0.02507863,0.0419966,0.041952,0.03692394,0.05988331,0.06987626,0.05163082,0.04557786,0.04313976,0.0469795,0.02962757,0.01933939,0.00759725,0.00800169,0.043961,0.0291767,0.13552531
9.5,0.03546194,0.06974788,0.01802992,0.00285954,0.02403884,0.03700286,0.03483302,0.03074482,0.05254534,0.06188273,0.04607199,0.04037154,0.03639866,0.04075045,0.02576783,0.01742836,0.00675976,0.00710674,0.03824519,0.02391858,0.1115886
10.0,0.03111395,0.06092153,0.01589058,0.00259133,0.02108597,0.03240277,0.02996806,0.02673839,0.0460158,0.05440237,0.04130756,0.03597437,0.03130222,0.03590019,0.02261187,0.01586378,0.0060525,0.00635172,0.03399312,0.02043664,0.09705253
11.0,0.02409928,0.04524001,0.01283764,0.00215958,0.01680756,0.0246717,0.02283367,0.02034806,0.03483504,0.0416506,0.03361466,0.02887386,0.02446244,0.02780522,0.01835303,0.01349701,0.00493327,0.00515955,0.02722275,0.01655389,0.07000508
12.0,0.01894038,0.03489751,0.01027976,0.00179555,0.01243768,0.01825046,0.01721813,0.01578304,0.02712169,0.03167689,0.02776495,0.023494,0.01926861,0.0213987,0.01538267,0.01134416,0.00409779,0.00427255,0.02217923,0.01403743,0.05340329
13.0,0.01512798,0.02729084,0.00838581,0.00151448,0.0098258,0.01331462,0.01319069,0.01270773,0.0218181,0.02463437,0.02325111,0.01937722,0.01551337,0.01662169,0.01304349,0.00949978,0.00345816,0.0035958,0.01835685,0.01177668,0.04080375
14.0,0.01251691,0.02240554,0.0069926,0.00126777,0.00782278,0.01067345,0.0105064,0.01053168,0.01810692,0.02118407,0.01971562,0.01618929,0.01283631,0.01337544,0.01118098,0.00796531,0.00295779,0.00306814,0.01541024,0.00987105,0.03264114
15.0,0.01057142,0.01870075,0.00597595,0.00110427,0.00660826,0.00878493,0.00893961,0.00878212,0.0155242,0.01831625,0.01690642,0.01369017,0.01091975,0.01129165,0.00968101,0.00670509,0.00255906,0.00264894,0.01310127,0.00831151,0.02641099
20.0,0.0054401,0.00926714,0.0031935,0.00062134,0.00340987,0.00476624,0.00451619,0.0042944,0.00853353,0.00976482,0.00894339,0.00686546,0.00616767,0.00571668,0.00530374,0.00368913,0.00140823,0.00144722,0.00673645,0.00404465,0.01169274

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-149 Horizontal-1 pSa (g),RSN-149 Horizontal-2 pSa (g),RSN-149 Vertical pSa (g),RSN-161 Horizontal-1 pSa (g),RSN-161 Horizontal-2 pSa (g),RSN-161 Vertical pSa (g),RSN-170 Horizontal-1 pSa (g),RSN-170 Horizontal-2 pSa (g),RSN-170 Vertical pSa (g),RSN-173 Horizontal-1 pSa (g),RSN-173 Horizontal-2 pSa (g),RSN-173 Vertical pSa (g),RSN-178 Horizontal-1 pSa (g),RSN-178 Horizontal-2 pSa (g),RSN-178 Vertical pSa (g),RSN-179 Horizontal-1 pSa (g),RSN-179 Horizontal-2 pSa (g),RSN-179 Vertical pSa (g),RSN-180 Horizontal-1 pSa (g),RSN-180 Horizontal-2 pSa (g),RSN-180 Vertical pSa (g),RSN-181 Horizontal-1 pSa (g),RSN-181 Horizontal-2 pSa (g),RSN-181 Vertical pSa (g),RSN-182 Horizontal-1 pSa (g),RSN-182 Horizontal-2 pSa (g),RSN-182 Vertical pSa (g),RSN-184 Horizontal-1 pSa (g),RSN-184 Horizontal-2 pSa (g),RSN-184 Vertical pSa (g),RSN-185 Horizontal-1 pSa (g),RSN-185 Horizontal-2 pSa (g),RSN-185 Vertical pSa (g),RSN-1114 Horizontal-1 pSa (g),RSN-1114 Horizontal-2 pSa (g),RSN-1114 Vertical pSa (g),RSN-3965 Horizontal-1 pSa (g),RSN-3965 Horizontal-2 pSa (g),RSN-3965 Vertical pSa (g),RSN-4100 Horizontal-1 pSa (g),RSN-4100 Horizontal-2 pSa (g),RSN-4100 Vertical pSa (g),RSN-4107 Horizontal-1 pSa (g),RSN-4107 Horizontal-2 pSa (g),RSN-4107 Vertical pSa (g),RSN-8119 Horizontal-1 pSa (g),RSN-8119 Horizontal-2 pSa (g),RSN-8119 Vertical pSa (g),RSN-8123 Horizontal-1 pSa (g),RSN-8123 Horizontal-2 pSa (g),RSN-8123 Vertical pSa (g),RSN-8161 Horizontal-1 pSa (g),RSN-8161 Horizontal-2 pSa (g),RSN-8161 Vertical pSa (g)
0.01,0.2331152,0.2518244,0.429,0.1655985,0.2197023,0.159,0.2124179,0.2362316,0.259,0.1737809,0.2316553,0.112,0.2674078,0.2234263,0.133,0.4848159,0.3713433,0.301,0.5303445,0.3831603,0.635,0.466556,0.4515043,2.23,0.3414361,0.4692309,0.59,0.3543849,0.481459,0.77,0.2585617,0.2217271,0.264,0.3488003,0.2907473,0.578,0.3213181,0.3947858,0.326,0.6240197,0.3728748,0.19,0.6055707,0.8361592,0.26,0.59892,0.674518,1.9,0.3714823,0.7153928,0.522,0.3318904,0.4061194,0.275
0.02,0.2332854,0.2524044,0.435,0.1695103,0.2210696,0.2,0.2122943,0.2398388,0.278,0.178467,0.2345127,0.131,0.2685,0.2260249,0.15,0.49018,0.3821017,0.416,0.5558624,0.4038008,0.766,0.8045421,0.6169721,3.34,0.3444094,0.4735269,0.696,0.3567206,0.4830834,0.93,0.2632869,0.2259838,0.29,0.3481158,0.2897723,0.567,0.3244081,0.3916915,0.339,0.6260337,0.3755421,0.19,0.6098333,0.8497403,0.269,0.7296281,0.7282749,2.55,0.3709485,0.7231389,0.546,0.3320566,0.4131649,0.302
0.022,0.2337064,0.2535559,0.447,0.1622219,0.2237229,0.201,0.2139838,0.2394862,0.319,0.1872549,0.2356122,0.142,0.2713619,0.2312353,0.152,0.5018105,0.3853709,0.448,0.5692291,0.4092846,0.78,0.9040645,0.6726542,3.33,0.3486414,0.4754261,0.719,0.3547741,0.4854327,0.927,0.2623394,0.2253548,0.329,0.3479847,0.2902137,0.567,0.3257161,0.3926217,0.343,0.6252108,0.3757995,0.193,0.6116486,0.8527319,0.264,0.7399631,0.7352402,2.71,0.3733101,0.7238247,0.547,0.3310132,0.4052868,0.324
0.025,0.233957,0.2529053,0.454,0.1730419,0.2244145,0.236,0.2140644,0.2424166,0.334,0.1934683,0.2397311,0.132,0.2742675,0.2320306,0.156,0.4994187,0.3761167,0.491,0.5994022,0.4105972,0.852,0.9914904,0.6581343,3.48,0.3595876,0.4848766,1.01,0.3682878,0.4821052,1.17,0.2605088,0.2262065,0.319,0.3480957,0.2912165,0.572,0.3278294,0.394541,0.349,0.6257717,0.3740343,0.195,0.6064119,0.8530345,0.29,0.7700934,0.730377,2.83,0.3724657,0.7181754,0.585,0.3318124,0.4166459,0.347
0.029,0.233952,0.2535481,0.438,0.1784289,0.2238294,0.253,0.2150734,0.2423515,0.362,0.1893875,0.2379611,0.154,0.2700956,0.2239408,0.184,0.5086986,0.3997252,0.561,0.628204,0.4077643,0.9,1.092969,0.6751431,3.33,0.3527734,0.4865169,1.09,0.3623263,0.48778,1.16,0.2648027,0.2239776,0.401,0.3487943,0.2924427,0.605,0.3303404,0.3951286,0.371,0.6332573,0.3799234,0.193,0.62773,0.8528706,0.287,0.7770631,0.7365926,2.85,0.3722965,0.7353989,0.729,0.3348931,0.4198468,0.443
0.03,0.2335065,0.255235,0.45,0.1824362,0.2247382,0.244,0.2157241,0.2410604,0.391,0.1924299,0.2396579,0.149,0.2690969,0.221875,0.185,0.4985051,0.3979236,0.562,0.6268086,0.4129939,0.889,1.172606,0.6218668,3.18,0.3501698,0.4840502,1.1,0.3639628,0.4959666,1.11,0.2679203,0.2251494,0.436,0.349103,0.2916689,0.602,0.3320048,0.3946945,0.378,0.6335334,0.3815637,0.197,0.6328055,0.8524127,0.293,0.7682374,0.7512416,2.76,0.375184,0.736746,0.759,0.3382194,0.4243919,0.438
0.032,0.2335052,0.2555632,0.447,0.197698,0.2234717,0.274,0.2179701,0.2425566,0.41,0.1992985,0.2369917,0.169,0.2753745,0.2210485,0.201,0.4944361,0.406654,0.613,0.6369964,0.4565672,1.09,1.200037,0.6078535,3.48,0.3439229,0.4753109,1.07,0.3677812,0.509387,1.08,0.2743821,0.2375665,0.507,0.3489903,0.2923582,0.6,0.3416241,0.4012248,0.4,0.6284762,0.3822193,0.207,0.624512,0.8388057,0.283,0.7792304,0.7732167,2.61,0.3771576,0.739765,0.657,0.3390288,0.4278611,0.448
0.035,0.2351159,0.2562321,0.457,0.2213322,0.2223191,0.319,0.2153334,0.262209,0.407,0.190721,0.2332629,0.181,0.2789457,0.2224125,0.213,0.5159522,0.4583348,0.627,0.6551875,0.4954441,0.985,1.056194,0.511436,4.45,0.3446663,0.4767151,1.28,0.3740008,0.5150996,1.29,0.2625402,0.2330871,0.495,0.3499183,0.2899519,0.651,0.3598311,0.4103447,0.458,0.6401577,0.3821139,0.227,0.6465821,0.8338509,0.324,0.7314121,0.8135021,2.42,0.3735339,0.7409167,0.64,0.3337966,0.4166104,0.473
0.036,0.2340903,0.256557,0.466,0.2258352,0.2229234,0.364,0.2139029,0.2663823,0.43,0.1867756,0.2335427,0.185,0.2775792,0.2259026,0.222,0.5394517,0.4789302,0.639,0.6529258,0.4914705,0.992,1.003315,0.5170234,4.23,0.3441281,0.4800217,1.24,0.380985,0.5138897,1.38,0.260536,0.230803,0.447,0.3493782,0.2902615,0.691,0.3642949,0.4106789,0.446,0.6446491,0.3839337,0.228,0.6419825,0.8322325,0.341,0.8261614,0.8131758,2.24,0.3775338,0.7434318,0.64,0.3349982,0.4136031,0.476
0.04,0.2416689,0.2556413,0.424,0.2281589,0.2286096,0.462,0.2202625,0.2699106,0.488,0.1864533,0.2354554,0.238,0.2877116,0.2382736,0.237,0.5743207,0.4865818,0.767,0.7367756,0.4727173,1.21,0.8667667,0.470793,3.42,0.3395219,0.4740737,1.48,0.3905679,0.5315763,1.53,0.2672712,0.2481041,0.429,0.3493016,0.3013117,0.796,0.3682909,0.4355172,0.566,0.6557482,0.3905623,0.27,0.6317385,0.8511126,0.352,0.7781243,0.7482324,2.35,0.3773587,0.743811,0.726,0.3322783,0.4259717,0.549
0.042,0.2442115,0.2527857,0.49,0.2341908,0.2276467,0.45,0.2264242,0.2718547,0.444,0.1833662,0.237547,0.241,0.2857525,0.2428311,0.256,0.5174028,0.5180121,0.777,0.7575113,0.4319074,1.42,0.8111414,0.5425615,3.59,0.3513828,0.4894713,1.77,0.3737705,0.5312866,1.52,0.2709741,0.2472181,0.547,0.3526039,0.2987244,0.83,0.3613812,0.4351608,0.58,0.6640407,0.3896145,0.289,0.6251673,0.8304208,0.374,0.6894723,0.6874127,2.2,0.3812332,0.7419125,0.681,0.3452188,0.4234647,0.586
0.044,0.253488,0.2532519,0.539,0.2523042,0.2299642,0.428,0.2334068,0.2702087,0.423,0.1773669,0.2632547,0.202,0.2886277,0.2619006,0.265,0.527832,0.5388291,0.769,0.7870624,0.4366353,1.56,0.888651,0.6178258,3.96,0.3537457,0.5060994,2.01,0.3794019,0.5322925,1.43,0.2638879,0.2514151,0.635,0.3531425,0.2932822,0.798,0.364838,0.4165097,0.596,0.6670084,0.3888371,0.298,0.6523102,0.857748,0.449,0.7200236,0.734369,2.47,0.3835385,0.74362,0.628,0.367936,0.4218779,0.622
0.045,0.2577177,0.259138,0.545,0.2526165,0.2291553,0.391,0.2337399,0.2678362,0.424,0.1778708,0.2720233,0.191,0.297515,0.2694146,0.267,0.5499892,0.550208,0.787,0.7961461,0.4892676,1.74,0.9880624,0.6459162,3.99,0.3518065,0.5005337,1.95,0.390073,0.5354598,1.34,0.2594914,0.2517882,0.654,0.3521468,0.2897661,0.808,0.3619604,0.4136851,0.662,0.6655485,0.3887069,0.303,0.6684835,0.8730301,0.468,0.7339728,0.7543921,2.59,0.3826472,0.7418435,0.658,0.370922,0.4209727,0.613
0.046,0.2570159,0.2656137,0.536,0.2565447,0.2273597,0.344,0.2341951,0.264179,0.42,0.1789755,0.2753895,0.199,0.3068616,0.2738725,0.272,0.5683497,0.5510277,0.815,0.8100313,0.5119515,1.82,1.089548,0.6728933,4.02,0.3476814,0.4921474,1.97,0.4031835,0.5332863,1.26,0.2626639,0.2508262,0.645,0.3505061,0.2944378,0.846,0.3585506,0.4170022,0.773,0.6636053,0.3884416,0.317,0.6737079,0.8887024,0.475,0.7391048,0.7380331,2.57,0.3811155,0.742969,0.723,0.3703197,0.4202693,0.669
